Text,oh_label,cleaned_text,tokens,processed_text,__index_level_0__
 Get fucking real dude.,1,get fucking real dude,['get' 'fucking' 'real' 'dude'],get fucking real dude,0
 She is as dirty as they come  and that crook Rengel  the Dems are so fucking corrupt it's a joke. Make Republicans look like  ...,1,she is as dirty as they come and that crook rengel the dems are so fucking corrupt it is a joke make republicans look like,"['she' 'is' 'as' 'dirty' 'as' 'they' 'come' 'and' 'that' 'crook' 'rengel'
 'the' 'dems' 'are' 'so' 'fucking' 'corrupt' 'it' 'is' 'a' 'joke' 'make'
 'republicans' 'look' 'like']",dirty come crook rengel dems fucking corrupt joke make republican look,1
 why did you fuck it up. I could do it all day too. Let's do it when you have an hour. Ping me later to sched writing a book here.,1,why did you fuck it up i could do it all day too let us do it when you have an hour ping me later to sched writing a book here,"['why' 'did' 'you' 'fuck' 'it' 'up' 'i' 'could' 'do' 'it' 'all' 'day'
 'too' 'let' 'us' 'do' 'it' 'when' 'you' 'have' 'an' 'hour' 'ping' 'me'
 'later' 'to' 'sched' 'writing' 'a' 'book' 'here']",fuck could day let hour ping later sched writing book,2
 Dude they dont finish enclosing the fucking showers. I hate half assed jobs. Whats the reasononing behind it? Makes no sense.,1,dude they do not finish enclosing the fucking showers i hate half assed jobs what is the reasononing behind it makes no sense,"['dude' 'they' 'do' 'not' 'finish' 'enclosing' 'the' 'fucking' 'showers'
 'i' 'hate' 'half' 'assed' 'jobs' 'what' 'is' 'the' 'reasononing' 'behind'
 'it' 'makes' 'no' 'sense']",dude finish enclosing fucking shower hate half assed job reasononing behind make sense,3
 WTF are you talking about Men? No men thats not a menage  that's just gay.,1,wtf are you talking about men no men that is not a menage that is just gay,"['wtf' 'are' 'you' 'talking' 'about' 'men' 'no' 'men' 'that' 'is' 'not'
 'a' 'menage' 'that' 'is' 'just' 'gay']",wtf talking men men menage gay,4
Ill save you the trouble sister. Here comes a big ol fuck France block coming your way here on the twitter.,1,ill save you the trouble sister here comes a big old fuck france block coming your way here on the twitter,"['ill' 'save' 'you' 'the' 'trouble' 'sister' 'here' 'comes' 'a' 'big'
 'old' 'fuck' 'france' 'block' 'coming' 'your' 'way' 'here' 'on' 'the'
 'twitter']",ill save trouble sister come big old fuck france block coming way twitter,5
 Im dead serious.Real athletes never cheat don't even have the appearance of at his level. Fuck him dude seriously  I think he did,1,i am dead seriousreal athletes never cheat do not even have the appearance of at his level fuck him dude seriously i think he did,"['i' 'am' 'dead' 'seriousreal' 'athletes' 'never' 'cheat' 'do' 'not'
 'even' 'have' 'the' 'appearance' 'of' 'at' 'his' 'level' 'fuck' 'him'
 'dude' 'seriously' 'i' 'think' 'he' 'did']",dead seriousreal athlete never cheat even appearance level fuck dude seriously think,6
...go absolutely insane.hate to be the bearer of bad news..LoL..dont shoot the messenger (cause we all know you bought that pistol,1,go absolutely insanehate to be the bearer of bad newsloldo not shoot the messenger because we all know you bought that pistol,"['go' 'absolutely' 'insanehate' 'to' 'be' 'the' 'bearer' 'of' 'bad'
 'newsloldo' 'not' 'shoot' 'the' 'messenger' 'because' 'we' 'all' 'know'
 'you' 'bought' 'that' 'pistol']",absolutely insanehate bearer bad newsloldo shoot messenger know bought pistol,7
"Lmao  im watching the same thing ahaha. The gay guy is hilarious! ""Dede having a good day and I dont want anyone to mess it up.""",1,lmao i am watching the same thing ahaha the gay guy is hilarious dede having a good day and i do not want anyone to mess it up,"['lmao' 'i' 'am' 'watching' 'the' 'same' 'thing' 'ahaha' 'the' 'gay' 'guy'
 'is' 'hilarious' 'dede' 'having' 'a' 'good' 'day' 'and' 'i' 'do' 'not'
 'want' 'anyone' 'to' 'mess' 'it' 'up']",lmao watching thing ahaha gay guy hilarious dede good day want anyone mess,8
LOL  no he said  What do you call a jail cell to a gay guy? Paradise! ahaha.,1,lol no he said what do you call a jail cell to a gay guy paradise ahaha,"['lol' 'no' 'he' 'said' 'what' 'do' 'you' 'call' 'a' 'jail' 'cell' 'to'
 'a' 'gay' 'guy' 'paradise' 'ahaha']",lol said call jail cell gay guy paradise ahaha,9
truth on both counts that guy is an ass  and their product is sub par. I tell people try Dalesandros orJim's,1,truth on both counts that guy is an ass and their product is sub par i tell people try dalesandros orjims,"['truth' 'on' 'both' 'counts' 'that' 'guy' 'is' 'an' 'ass' 'and' 'their'
 'product' 'is' 'sub' 'par' 'i' 'tell' 'people' 'try' 'dalesandros'
 'orjims']",truth count guy as product sub par tell people try dalesandros orjims,10
Shakespeare nerd!,1,shakespeare nerd,['shakespeare' 'nerd'],shakespeare nerd,11
you are SUCH a fucking dork,1,you are such a fucking dork,['you' 'are' 'such' 'a' 'fucking' 'dork'],fucking dork,12
Heh. Fuck 'em WHERE?!?,1,heh fuck them where,['heh' 'fuck' 'them' 'where'],heh fuck,13
damn it i totally forgot that one!,1,damn it i totally forgot that one,['damn' 'it' 'i' 'totally' 'forgot' 'that' 'one'],damn totally forgot one,14
wow  damn I would have been pissed @ that...,1,wow damn i would have been pissed that,['wow' 'damn' 'i' 'would' 'have' 'been' 'pissed' 'that'],wow damn would pissed,15
nigga u geigh lmao! fuck yo finals beeeeeitch,1,nigga you geigh lmao fuck yo finals beeeeeitch,['nigga' 'you' 'geigh' 'lmao' 'fuck' 'yo' 'finals' 'beeeeeitch'],nigga geigh lmao fuck final beeeeeitch,16
that sucks :(,1,that sucks,['that' 'sucks'],suck,17
"read that this morning. my fav is how they just straight up say ""cum shots""",1,read that this morning my fav is how they just straight up say cum shots,"['read' 'that' 'this' 'morning' 'my' 'fav' 'is' 'how' 'they' 'just'
 'straight' 'up' 'say' 'cum' 'shots']",read morning fav straight say cum shot,18
Unibroue 17 !!!! Another damn good Unibroue,1,unibroue another damn good unibroue,['unibroue' 'another' 'damn' 'good' 'unibroue'],unibroue another damn good unibroue,19
damn your evil 60 minute IPA beckoning me from the fridge right now...,1,damn your evil minute ipa beckoning me from the fridge right now,"['damn' 'your' 'evil' 'minute' 'ipa' 'beckoning' 'me' 'from' 'the'
 'fridge' 'right' 'now']",damn evil minute ipa beckoning fridge right,20
It did  then my fucking dad turned it off. I just don't think it likes your movies. I was tryin to watch Nanny Diaries.,1,it did then my fucking dad turned it off i just do not think it likes your movies i was tryin to watch nanny diaries,"['it' 'did' 'then' 'my' 'fucking' 'dad' 'turned' 'it' 'off' 'i' 'just'
 'do' 'not' 'think' 'it' 'likes' 'your' 'movies' 'i' 'was' 'tryin' 'to'
 'watch' 'nanny' 'diaries']",fucking dad turned think like movie tryin watch nanny diary,21
it pretty much is a fuck you card..,1,it pretty much is a fuck you card,['it' 'pretty' 'much' 'is' 'a' 'fuck' 'you' 'card'],pretty much fuck card,22
that karma is a bitch  HUH,1,that karma is a bitch huh,['that' 'karma' 'is' 'a' 'bitch' 'huh'],karma bitch huh,23
don't get too fat or you'll turn into a boomer,1,do not get too fat or you will turn into a boomer,['do' 'not' 'get' 'too' 'fat' 'or' 'you' 'will' 'turn' 'into' 'a' 'boomer'],get fat turn boomer,24
the hormones are worse for guys.  I cant tell you how much I truly hate the thoughts that go through my head.,1,the hormones are worse for guys i cannot tell you how much i truly hate the thoughts that go through my head,"['the' 'hormones' 'are' 'worse' 'for' 'guys' 'i' 'can' 'not' 'tell' 'you'
 'how' 'much' 'i' 'truly' 'hate' 'the' 'thoughts' 'that' 'go' 'through'
 'my' 'head']",hormone worse guy tell much truly hate thought head,25
